警报类别,警报级别,警报内容,时间戳
中度污染,info,氨氮偏高提醒：浓度0.28mg/L，水质开始下降。,2025-06-16T09:32:04.812Z
中度污染,info,总磷偏高提醒：浓度0.025mg/L，需要关注。,2025-06-16T09:32:04.812Z
中度污染,info,电导率偏高：当前1583.9μS/cm，水体矿化度较高。,2025-06-16T09:32:04.812Z
中度污染,info,浊度偏高提醒：当前11.3NTU，水体透明度下降。,2025-06-16T09:32:04.812Z
严重污染,danger,总氮严重超标！浓度9.64mg/L，水体营养盐严重过量！,2025-06-16T09:48:00.620Z
重度污染,warning,溶解氧偏低警告：当前10.05mg/L，水体开始缺氧。,2025-06-16T09:48:00.620Z
重度污染,warning,化学需氧量超标警告：当前3.93mg/L，水体有机污染较重。,2025-06-16T09:48:00.620Z
重度污染,warning,氨氮超标警告：浓度0.28mg/L，水体污染加重。,2025-06-16T09:48:00.620Z
重度污染,warning,总磷超标警告：浓度0.025mg/L，可能引起水体富营养化。,2025-06-16T09:48:00.620Z
中度污染,info,溶解氧偏低提醒：当前10.05mg/L，建议关注水体含氧量。,2025-06-16T09:48:00.620Z
中度污染,info,化学需氧量偏高：当前3.93mg/L，水体有机物含量较高。,2025-06-16T09:48:00.620Z
中度污染,info,氨氮偏高提醒：浓度0.28mg/L，水质开始下降。,2025-06-16T09:48:00.620Z
中度污染,info,总磷偏高提醒：浓度0.025mg/L，需要关注。,2025-06-16T09:48:00.620Z
中度污染,info,电导率偏高：当前1583.9μS/cm，水体矿化度较高。,2025-06-16T09:48:00.620Z
中度污染,info,浊度偏高提醒：当前11.3NTU，水体透明度下降。,2025-06-16T09:48:00.620Z
严重污染,danger,总氮严重超标！浓度9.64mg/L，水体营养盐严重过量！,2025-06-22T13:25:56.427Z
重度污染,warning,溶解氧偏低警告：当前10.05mg/L，水体开始缺氧。,2025-06-22T13:25:56.427Z
重度污染,warning,化学需氧量超标警告：当前3.93mg/L，水体有机污染较重。,2025-06-22T13:25:56.427Z
重度污染,warning,氨氮超标警告：浓度0.28mg/L，水体污染加重。,2025-06-22T13:25:56.427Z
重度污染,warning,总磷超标警告：浓度0.025mg/L，可能引起水体富营养化。,2025-06-22T13:25:56.427Z
中度污染,info,溶解氧偏低提醒：当前10.05mg/L，建议关注水体含氧量。,2025-06-22T13:25:56.427Z
中度污染,info,化学需氧量偏高：当前3.93mg/L，水体有机物含量较高。,2025-06-22T13:25:56.427Z
中度污染,info,氨氮偏高提醒：浓度0.28mg/L，水质开始下降。,2025-06-22T13:25:56.427Z
中度污染,info,总磷偏高提醒：浓度0.025mg/L，需要关注。,2025-06-22T13:25:56.427Z
中度污染,info,电导率偏高：当前1583.9μS/cm，水体矿化度较高。,2025-06-22T13:25:56.427Z
中度污染,info,浊度偏高提醒：当前11.3NTU，水体透明度下降。,2025-06-22T13:25:56.427Z
